date,time,hz_low,hz_high,hz_bin_width,num_samples,dB_1,dB_2,dB_3,dB_4,dB_5
2024-12-31,13:43:27.032707,0,5000000,1000000.00,20,-87.72,-70.49,-57.88,-59.95,-55.07
2024-12-31,13:43:27.032707,10000000,15000000,1000000.00,20,-62.14,-61.98,-61.63,-56.63,-53.20
2024-12-31,13:43:27.032707,5000000,10000000,1000000.00,20,-65.01,-61.69,-61.90,-62.70,-56.14
2024-12-31,13:43:27.032707,15000000,20000000,1000000.00,20,-70.71,-66.02,-56.72,-40.13,-29.56
2024-12-31,13:43:27.032707,20000000,25000000,1000000.00,20,-51.84,-50.86,-56.06,-51.47,-47.20
2024-12-31,13:43:27.032707,30000000,35000000,1000000.00,20,-55.11,-48.02,-50.46,-51.20,-46.49
2024-12-31,13:43:27.032707,25000000,30000000,1000000.00,20,-45.30,-48.92,-41.83,-46.13,-47.37
2024-12-31,13:43:27.032707,35000000,40000000,1000000.00,20,-57.17,-46.16,-44.74,-52.77,-43.65
2024-12-31,13:43:27.032707,40000000,45000000,1000000.00,20,-53.28,-56.78,-51.48,-57.62,-58.89
2024-12-31,13:43:27.032707,50000000,55000000,1000000.00,20,-50.17,-51.06,-58.71,-75.45,-55.93
2024-12-31,13:43:27.032707,45000000,50000000,1000000.00,20,-48.54,-49.88,-59.16,-55.24,-49.82
2024-12-31,13:43:27.032707,55000000,60000000,1000000.00,20,-51.54,-63.84,-77.32,-54.30,-51.00
2024-12-31,13:43:27.032707,60000000,65000000,1000000.00,20,-55.60,-58.08,-57.64,-55.77,-53.49
2024-12-31,13:43:27.032707,70000000,75000000,1000000.00,20,-52.37,-49.28,-54.83,-60.61,-56.10
2024-12-31,13:43:27.032707,65000000,70000000,1000000.00,20,-51.19,-56.50,-49.33,-53.31,-62.30
2024-12-31,13:43:27.032707,75000000,80000000,1000000.00,20,-52.37,-53.79,-54.68,-74.92,-49.54
2024-12-31,13:43:27.032707,80000000,85000000,1000000.00,20,-58.83,-61.83,-60.24,-53.75,-53.11
2024-12-31,13:43:27.032707,90000000,95000000,1000000.00,20,-62.02,-57.82,-55.46,-57.78,-57.01
2024-12-31,13:43:27.032707,85000000,90000000,1000000.00,20,-60.97,-58.89,-52.95,-55.58,-66.41
2024-12-31,13:43:27.032707,95000000,100000000,1000000.00,20,-56.44,-57.82,-62.46,-60.39,-58.71
2024-12-31,13:43:27.032707,100000000,105000000,1000000.00,20,-52.14,-54.83,-61.46,-56.96,-59.00
2024-12-31,13:43:27.032707,110000000,115000000,1000000.00,20,-62.42,-57.37,-61.43,-60.31,-55.44
2024-12-31,13:43:27.032707,105000000,110000000,1000000.00,20,-60.78,-62.36,-55.13,-53.19,-57.25
2024-12-31,13:43:27.032707,115000000,120000000,1000000.00,20,-71.87,-66.64,-77.73,-69.13,-63.23
2024-12-31,13:43:27.032707,120000000,125000000,1000000.00,20,-58.34,-54.54,-56.08,-62.93,-54.36
2024-12-31,13:43:27.032707,130000000,135000000,1000000.00,20,-60.20,-57.69,-59.57,-61.19,-64.53
2024-12-31,13:43:27.032707,125000000,130000000,1000000.00,20,-66.63,-63.80,-54.37,-54.57,-62.33
2024-12-31,13:43:27.032707,135000000,140000000,1000000.00,20,-57.11,-58.26,-60.24,-53.75,-51.70
2024-12-31,13:43:27.032707,140000000,145000000,1000000.00,20,-59.37,-59.89,-52.97,-61.45,-56.93
2024-12-31,13:43:27.032707,150000000,155000000,1000000.00,20,-56.78,-58.12,-56.41,-53.27,-55.56
2024-12-31,13:43:27.032707,145000000,150000000,1000000.00,20,-64.97,-60.74,-62.77,-69.05,-58.23
2024-12-31,13:43:27.032707,155000000,160000000,1000000.00,20,-56.60,-59.32,-61.09,-69.52,-50.67
2024-12-31,13:43:27.032707,160000000,165000000,1000000.00,20,-47.32,-48.96,-48.76,-50.27,-46.06
2024-12-31,13:43:27.032707,170000000,175000000,1000000.00,20,-60.23,-60.95,-55.92,-56.50,-48.71
2024-12-31,13:43:27.032707,165000000,170000000,1000000.00,20,-41.95,-40.35,-41.95,-43.37,-45.85
2024-12-31,13:43:27.032707,175000000,180000000,1000000.00,20,-43.73,-43.09,-44.05,-45.57,-58.82
2024-12-31,13:43:27.032707,180000000,185000000,1000000.00,20,-46.73,-54.26,-57.30,-59.64,-54.50
2024-12-31,13:43:27.032707,190000000,195000000,1000000.00,20,-62.04,-63.95,-50.74,-50.76,-47.97
2024-12-31,13:43:27.032707,185000000,190000000,1000000.00,20,-48.66,-52.15,-73.72,-60.49,-63.18
2024-12-31,13:43:27.032707,195000000,200000000,1000000.00,20,-58.97,-60.40,-68.14,-62.54,-60.58
2024-12-31,13:43:27.032707,200000000,205000000,1000000.00,20,-60.24,-54.65,-58.23,-55.82,-61.42
2024-12-31,13:43:27.032707,210000000,215000000,1000000.00,20,-55.65,-63.40,-66.64,-66.81,-67.16
2024-12-31,13:43:27.032707,205000000,210000000,1000000.00,20,-54.97,-60.68,-71.33,-54.21,-55.01
2024-12-31,13:43:27.032707,215000000,220000000,1000000.00,20,-53.59,-60.68,-55.48,-58.36,-62.00
2024-12-31,13:43:27.032707,220000000,225000000,1000000.00,20,-59.62,-67.56,-63.67,-62.90,-62.39
2024-12-31,13:43:27.032707,230000000,235000000,1000000.00,20,-58.72,-61.78,-57.36,-54.29,-53.70
2024-12-31,13:43:27.032707,225000000,230000000,1000000.00,20,-58.05,-57.60,-54.27,-54.09,-55.02
2024-12-31,13:43:27.032707,235000000,240000000,1000000.00,20,-53.11,-49.06,-51.64,-69.40,-59.35
2024-12-31,13:43:27.032707,240000000,245000000,1000000.00,20,-55.93,-57.53,-58.55,-72.96,-68.07
2024-12-31,13:43:27.032707,250000000,255000000,1000000.00,20,-67.70,-56.74,-54.02,-59.32,-61.80
2024-12-31,13:43:27.032707,245000000,250000000,1000000.00,20,-58.66,-57.47,-57.78,-55.99,-59.73
2024-12-31,13:43:27.032707,255000000,260000000,1000000.00,20,-65.22,-53.14,-55.46,-73.34,-56.93
2024-12-31,13:43:27.032707,260000000,265000000,1000000.00,20,-56.51,-61.84,-62.74,-63.97,-64.99
2024-12-31,13:43:27.032707,270000000,275000000,1000000.00,20,-57.17,-56.87,-58.05,-55.03,-53.27
2024-12-31,13:43:27.032707,265000000,270000000,1000000.00,20,-66.36,-64.61,-72.69,-66.98,-67.47
2024-12-31,13:43:27.032707,275000000,280000000,1000000.00,20,-56.61,-53.61,-60.47,-71.50,-73.29
2024-12-31,13:43:27.032707,280000000,285000000,1000000.00,20,-72.58,-58.93,-54.59,-57.26,-62.08
2024-12-31,13:43:27.032707,290000000,295000000,1000000.00,20,-56.23,-58.01,-60.74,-62.43,-62.50
2024-12-31,13:43:27.032707,285000000,290000000,1000000.00,20,-54.07,-54.47,-54.76,-55.49,-54.33
2024-12-31,13:43:27.032707,295000000,300000000,1000000.00,20,-54.84,-58.51,-63.91,-60.73,-55.87
2024-12-31,13:43:27.032707,300000000,305000000,1000000.00,20,-55.71,-62.98,-62.78,-61.58,-59.10
2024-12-31,13:43:27.032707,310000000,315000000,1000000.00,20,-72.84,-65.88,-66.36,-59.97,-62.65
2024-12-31,13:43:27.032707,305000000,310000000,1000000.00,20,-59.67,-66.51,-72.83,-56.93,-54.57
2024-12-31,13:43:27.032707,315000000,320000000,1000000.00,20,-64.40,-59.25,-67.96,-66.92,-65.64
2024-12-31,13:43:27.032707,320000000,325000000,1000000.00,20,-57.63,-55.00,-64.31,-62.36,-63.53
2024-12-31,13:43:27.032707,330000000,335000000,1000000.00,20,-60.22,-68.61,-61.00,-60.87,-74.87
2024-12-31,13:43:27.032707,325000000,330000000,1000000.00,20,-58.61,-69.53,-59.18,-60.77,-66.33
2024-12-31,13:43:27.032707,335000000,340000000,1000000.00,20,-69.12,-70.55,-66.95,-58.89,-56.86
2024-12-31,13:43:27.032707,340000000,345000000,1000000.00,20,-54.73,-60.18,-65.40,-61.05,-55.22
2024-12-31,13:43:27.032707,350000000,355000000,1000000.00,20,-57.85,-55.59,-59.70,-65.30,-64.40
2024-12-31,13:43:27.032707,345000000,350000000,1000000.00,20,-66.84,-64.11,-57.81,-56.20,-63.53
2024-12-31,13:43:27.032707,355000000,360000000,1000000.00,20,-60.65,-65.21,-60.96,-76.97,-58.38
2024-12-31,13:43:27.032707,360000000,365000000,1000000.00,20,-66.77,-56.42,-60.74,-63.59,-85.61
2024-12-31,13:43:27.032707,370000000,375000000,1000000.00,20,-67.02,-59.59,-54.47,-55.85,-63.61
2024-12-31,13:43:27.032707,365000000,370000000,1000000.00,20,-68.13,-55.12,-56.64,-70.97,-67.66
2024-12-31,13:43:27.032707,375000000,380000000,1000000.00,20,-57.84,-55.83,-62.85,-57.68,-56.40
2024-12-31,13:43:27.032707,380000000,385000000,1000000.00,20,-66.37,-59.19,-59.38,-56.17,-61.62
2024-12-31,13:43:27.032707,390000000,395000000,1000000.00,20,-71.48,-81.14,-61.85,-55.45,-53.65
2024-12-31,13:43:27.032707,385000000,390000000,1000000.00,20,-59.23,-57.12,-61.73,-70.97,-68.20
2024-12-31,13:43:27.032707,395000000,400000000,1000000.00,20,-59.95,-55.47,-56.24,-57.43,-56.55
2024-12-31,13:43:27.032707,400000000,405000000,1000000.00,20,-70.07,-63.16,-65.38,-71.90,-57.51
2024-12-31,13:43:27.032707,410000000,415000000,1000000.00,20,-56.97,-58.88,-71.83,-62.46,-67.97
2024-12-31,13:43:27.032707,405000000,410000000,1000000.00,20,-67.17,-66.74,-67.66,-58.04,-58.71
2024-12-31,13:43:27.032707,415000000,420000000,1000000.00,20,-58.67,-68.68,-62.63,-62.35,-59.01
2024-12-31,13:43:27.032707,420000000,425000000,1000000.00,20,-57.19,-47.92,-49.25,-44.39,-35.02
2024-12-31,13:43:27.032707,430000000,435000000,1000000.00,20,-58.09,-67.69,-62.31,-60.08,-61.96
2024-12-31,13:43:27.032707,425000000,430000000,1000000.00,20,-46.25,-55.24,-62.41,-70.63,-56.66
